district_id,district_name,avg_risk_prob,max_risk_prob,n_alerts,n_months,actual_drought_months,alert_rate,actual_drought_rate
taolagnaro,Taolagnaro,0.34903720444365116,0.8474441650556575,33,34,15,0.9705882352941176,0.4411764705882353
amboasary_atsimo,Amboasary-Atsimo,0.2817453703064308,0.7325216748247939,21,34,9,0.6176470588235294,0.2647058823529412
ambovombe_androy,Ambovombe-Androy,0.2687190455415499,0.7881134592428695,17,34,9,0.5,0.2647058823529412
betioky_atsimo,Betioky Atsimo,0.2149183899051114,0.7819933622181293,15,34,5,0.4411764705882353,0.14705882352941177
benenitra,Benenitra,0.21194218220328953,0.6000219633466175,15,34,6,0.4411764705882353,0.17647058823529413
bekily,Bekily,0.20543807140851364,0.6469065962681168,15,34,3,0.4411764705882353,0.08823529411764706
betroka,Betroka,0.20255444925591803,0.58281294688071,16,34,5,0.47058823529411764,0.14705882352941177
tsihombe,Tsihombe,0.19503063672117543,0.6369014697095222,12,34,4,0.35294117647058826,0.11764705882352941
beloha,Beloha,0.19456401068139073,0.6073147519877096,14,34,5,0.4117647058823529,0.14705882352941177
ampanihy_ouest,Ampanihy Ouest,0.1933690862310773,0.6851992733471569,14,34,5,0.4117647058823529,0.14705882352941177
sakaraha,Sakaraha,0.18204965385312763,0.554353573452646,16,34,5,0.47058823529411764,0.14705882352941177
beroroha,Beroroha,0.1652118181296466,0.5932391570069078,10,34,5,0.29411764705882354,0.14705882352941177
ankazoabo,Ankazoabo,0.16042553120272032,0.4812344641078953,11,34,6,0.3235294117647059,0.17647058823529413
morombe,Morombe,0.15929267545063758,0.5102635012677907,9,34,6,0.2647058823529412,0.17647058823529413
