,importance
ndvi_anomaly,0.14268146865815137
temp_lag_2,0.07841908618034817
temp_3m_mean,0.06375042184377107
temp_lag_1,0.05366620609262555
lst_day_mean_c,0.05243920988124821
rainfall_anomaly_mm,0.05203291701075265
rainfall_total_mm,0.04407399758431892
temp_6m_mean,0.04359999514627505
temp_lag_3,0.04103442365056253
ndvi_lag_3,0.0391612478302417
ndvi_6m_mean,0.03821304591625824
rain_lag_3,0.03693856072595153
rain_lag_1,0.0358809863858315
ndvi_mean,0.03399770412967362
et_total_mm,0.033723689734039296
ndvi_lag_2,0.032257769191618164
ndvi_3m_mean,0.030755912073030894
rain_6m_mean,0.030751317247932872
rain_3m_mean,0.029402981010689524
ndvi_lag_1,0.02937452692976085
rain_lag_2,0.02712348109045963
month_cos,0.022610929184937383
month_sin,0.008110122501521568
