model,threshold,precision_class_1,recall_class_1,f1_class_1,tn,fp,fn,tp
RandomForest,0.5,0.28205128205128205,0.125,0.1732283464566929,360,28,77,11
RandomForest,0.3,0.28346456692913385,0.4090909090909091,0.33488372093023255,297,91,52,36
RandomForest,0.2,0.3119266055045872,0.7727272727272727,0.4444444444444444,238,150,20,68
RandomForest,0.15,0.29296875,0.8522727272727273,0.436046511627907,207,181,13,75
RandomForest,0.1,0.275974025974026,0.9659090909090909,0.4292929292929293,165,223,3,85
LogisticRegression,0.5,0.3790322580645161,0.5340909090909091,0.44339622641509435,311,77,41,47
LogisticRegression,0.3,0.32075471698113206,0.7727272727272727,0.4533333333333333,244,144,20,68
LogisticRegression,0.2,0.24528301886792453,0.8863636363636364,0.3842364532019704,148,240,10,78
LogisticRegression,0.15,0.21761658031088082,0.9545454545454546,0.35443037974683544,86,302,4,84
LogisticRegression,0.1,0.19775280898876405,1.0,0.3302063789868668,31,357,0,88
